product,title,rating,text
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs","Très déçu, surtout pour le prix!! par rapport au même modèle d'il y a 10ans",3.0,"J'ai acheté ce rasoir pour mon fils, je dispose déjà d'un rasoir Braun Série 7 qui doit avoir plus de 10ans et pour le quel je suis toujours enchanté.Je viens de comparer le mien et le nouveau, c'est incroyable comme la qualité a diminué, on dirait un jouet à côté de l'ancien. En plus, le ""rasoir"" favoris n'est pas intégré, il faut donc à chaque fois déclipser la tête pour mettre l'accessoire. Vu la qualité et le fait de devoir enlever et remettre à chaque fois, c'est évidement qu'il ne va pas durer très longtemps. Et pas très pratique, le matin on est pressé en général.Quand je vois ca, je vais tout faire pour garder mon vieux rasoir le plus longtemps possible...L'angle de la tête est aussi beaucoup moins flexible, la tête bouge, oui, mais pas énormément. Flex 360.. pas vraimentLe rasoir en soit fonctionne bien, mais bon à ce prix, c'est le but... et si on ne compare pas avec l'ancien on ne sait pas ce que l'on rate ;-)En conclusion : rasoir qui rase bien sans plus et qui pour moi vaut 100e max! On parle d'un rasoir, pas d'un smartphone, 250e pour quelque chose de basic sans accessoires, faut pas déconner, essayez de l'avoir en promo."
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Ce rasoir électrique rente une peau de pêche,5.0,J'étais surpris par la qualité du rasage de ce rasoir électrique Brown c'est mon premier rasoir électrique Braun et je suis ravi de mon achat rapport qualité-prix excellent rasage impeccable une vraie peau de pêche
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Tombé en panne au bout d'une semaine,1.0,"Inconditionnel de la marque depuis 40 ans, cette nouvelle génération de la fameuse séries 7 a rempli mes attentes pendant une petite semaine jusqu'à commencer à accuser des fluctuations dans le régime moteur, pour finalement s'arrêterPour le peu de temps que j'ai pu l'utiliser, le niveau de bruit réduit est vraiment appréciableLe retour sous 30 jours proposé par Amazon est bien tombé et s'est déroulé sans aucun souciMerci donc Amazon pour ce confort qui rassure"
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Un peu déçu,2.0,Il est rasage humide et sec mais dans ce modèle Il n’y a pas de possibilité de verrouiller l’étanchéité du corps de rasageAussi il y a plein de poils qui vous tombent sur le thorax.
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",barbe,5.0,il on changé leur modèle il et plus puissant que les anciens modèles
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Pour un bon razage,5.0,Bon produit livré dans le délais: un produit allemand.
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Le meilleur Braun,5.0,"Charge qui dure très longtemps, usage agréable, bref le meilleur de Braun"
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Conforme aux attentes,5.0,Très bon rasoir
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Enfin un bon produit,5.0,Le must. Un des meilleurs rasoirs rapport qualité/prix. très satisfait et pas près de changer.
"Braun Series 7 Rasoir Électrique Homme À Grille Sans Fil, Base De Recharge Argent, Tondeuse De précision, Technologie Wet & Dry, Rechargeable, 70-S4200cs",Top,5.0,Très bon rasoir je recommande
