,product,title,rating,text
0,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir",Excellente lisseuse,5.0,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedSubtitlescaptions and subtitles off, selectedAudio TrackFullscreenThis is a modal window.


 ▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼▲▼Utilisateur du modèle Kindle depuis maintenant 3 ans j’ai acheté ce nouveau modèle et je vais vous donner mon avis sur celle-ci de deux manières :👉🏼 Avec une vision d’utilisateur possédant le modèle précédent, pour répondre à la fameuse questionEst-il intéressant d’investir dans le nouveau modèle quand on possède déjà la version précédente ?👉🏼 Avec une vision en tant que nouvel utilisateur à savoir :Est-elle le meilleur choix de tablette à acheter en 2019 ?⭐️⭐️⭐️ Design ⭐️⭐️⭐️La kindle dans sa version noir à un look très sympa, on reprend ici les grandes lignes des modèle précédent pour la forme.Elle offre toujours une très bonne prise en main, le poids est lui aussi très léger, pour ainsi ne pas ressentir de fatigue pendant de longues périodes avant d’avoir à changer de mains.La hauteur et la largeur sont les mêmes, les boutons sont au même endroit, et bien que cette version soit un peu plus lourde, on le ressent à peine. ( 13 grammes )⭐️⭐️⭐️ Ecran ⭐️⭐️⭐️Bien qu’ici ce ne soit pas une énorme amélioration du modèle de l’année dernière, l’affichage est l’une des meilleures caractéristiques qui caractérise cette liseuse.Comme la plupart des liseuses elle utilise la technologie d’encre numérique.Ce modèle utilise une version plus avancée, en outre l’éclairage a été amélioré, il est plus uniformément éclairé.De mon avis, concernant l’affichage avec une encre numérique, elle est l’une des meilleures liseuses sur le marché.J’adore lire avec, les textes sont très lisible que ce soit en intérieur / extérieur, au bord de la plage … avec peu ou aucune fatigue oculaire.(Et pourtant mon métier de dessinateur fait que je travaille 8h par jours devant un écran, en plus des divers écrans du quotidien … le soir lorsque j'utilise la lisseuse celle-ci ne me fatigue pas)⭐️⭐️⭐️ Processeur ⭐️⭐️⭐️Le Kindle est doté d'un processeur correctement dimensionné, ce qui permet une navigation et une rotation plus fluides des pages.Ont peux ouvrir des livres, feuilleter des pages et naviguer dans les menus assez rapidement sans ressentir de lenteur.Je tenais à dire que l’effet clignotant lors de la rotation des pages n’apparaît plus. Bien que, lors du passage à une nouvelle page, je puisse toujours voir des restes dans les espaces vides causés par le texte de la page précédente.Ceci est pour moi une belle mise à jour.⭐️⭐️⭐️ Écran tactile ⭐️⭐️⭐️L'écran tactile est bon, il fonctionne comme il se doit. L'écran répond aux éléments que j'essaie de sélectionner. Il est rare que cela interprète mal ma sélection et quand cela arrive il suffit de s’y reprendre une 2ème fois.⭐️⭐️⭐️ Autonomie de la batterie ⭐️⭐️⭐️Je n'ai pour le moment pas encore assez de recul pour vous en parler plus en détail, je tiendrais a jours mon commentaire d’ici quelques semaines d’utilisation.Mais Amazon cite une autonomie de 4 semaines. Notez que ces conditions sont très spécifiques.""Basées sur une demi-heure de lecture par jour avec le Wifi éteint et le réglage de l'éclairage à 13"".⭐️⭐️⭐️ Recherche de mots ⭐️⭐️⭐️L'une des choses que j'aime dans les liseuses électroniques par rapport aux livres traditionnels est la possibilité de rechercher des définitions de mots en temps réel, directement à partir de l'appareil. Pas besoin de sortir un dictionnaire.Cela me permet de rechercher un mot dans le dictionnaire, pour moi c'est génial. Je suis un chercheur de connaissances, et lorsque je découvre quelque chose sur lequel je souhaite en savoir plus, qu'il s'agisse de la définition d'un mot ou de l'obtention d'informations de base sur un terme, je peux le faire.⭐️⭐️⭐️ Page Flip ⭐️⭐️⭐️La fonction de « Page Flip » est probablement la meilleure amélioration du logiciel mis à jour, ça déchire!Grâce à cela, je peux avancer ou reculer, comme en feuilletant les pages d'un livre réel.Cela fonctionne en ouvrant une fenêtre contextuelle en haut de la page en cours sur laquelle je suis. À partir de cet écran contextuel, je peux faire défiler la page ou le chapitre. Puisque je survole l'écran contextuel, je ne perds jamais ma place. Je trouve cela très pratique.Si je veux revenir en arrière pour relire ou relire une section que j'ai mal compris. Lorsque j'ai terminé, je peux fermer la fenêtre contextuelle pour revenir à la page d'origine.⭐️⭐️⭐️ Note ⭐️⭐️⭐️Rien d’énorme, mais à noter que dans les versions précédentes, regarder une note signifiait naviguer hors de la page que vous lisiez. Avec l'ajout de la fonction contextuelle, les notes s'ouvrent dans un écran séparé. Ce n’est pas une amélioration considérable, mais apporte un confort supplémentaire⭐️⭐️⭐️ Mémorisation du vocabulaire ⭐️⭐️⭐️Ce n'est pas quelque chose d'utile pour moi, mais d'autres pourraient en profiter. La Kindle recueille tous les mots pour lesquels vous recherchez des définitions et les archive afin que vous puissiez les visualiser plus tard. Cela peut être utilisé comme un moyen de développer votre vocabulaire. Il y a un support intégré pour réviser les mots, ce qui affichera à la fois la définition du mot et son contexte.⭐️⭐️⭐️ Écosystème ⭐️⭐️⭐️Lorsque vous achetez une liseuse électronique, vous n'obtenez pas seulement un produit physique, vous bénéficiez également des commodités du système de cette marque. Amazon a une bibliothèque qui n’est disponible nulle part ailleurs. Si vous êtes un membre Prime, vous pouvez télécharger des livres gratuitement ... etc⭐️⭐️⭐️ PDF ⭐️⭐️⭐️Il vous sera possible d’ajouter vos fichiers PDF dans la tablette et ceux de 2 manières différentes :* directement en le glissant dans la mémoire de la Kindle* Envoyer par mail à votre adresse Kindle ( xxxxxxx@kindle.com ) en incluant la pièce jointe au mail avec en Object du message «  Convertir »Il m’est arrivé que quelques livre sois toutefois illisible sur la Kindle du fait probablement d’un fichier de base de mauvaise qualité, si cela vous arrive il existe une solution de convertir le PDF en un format TEXTE, cet opération n’est également pas des plus parfaite, vous y perdez toutes les images et parfois cela vous crée des lignes avec des caractères spéciaux illisible.⭐️⭐️⭐️ Publicité ⭐️⭐️⭐️Pour cette nouvelle version du Kindle je me la suis prise avec les publicités ( il est possible de les enlever par la suite moyennent une petite finance ( 20€ ) auprès d’amazon si cela vous dérange )👉🏼 Alors cette pub, gênante ?Que nenni:) à vrai dire, la première fois, je l’ai limite cherchée ! Elle apparaît juste sur l’écran de veille et un tout petit bandeau d’un centimètre à l’endroit où apparaît la liste de nos livres.La pub est uniquement de la réclame pour des livres ou pour la Kindle elle-même. Elle n’est donc absolument pas gênante, et n’apparaît nulle part ailleurs. Je ne regrette donc absolument pas d’avoir choisi cette version et je la garde telle quelle sans aucun souci.✔️✔️✔️ Alors, devriez-vous acheter? ✔️✔️✔️👉🏼 Si vous possédez un modèle  de l'année dernière, je ne pense pas que cela vaut la peine d'investir dans ce nouveau modèle. En termes de conception et de matériel, il n’y a pratiquement rien qui à changer. Oui, les pages tournent plus vite, mais votre expérience de lecture n'en changera pas.Les améliorations utiles se trouvent dans le logiciel, celle-ci seront d'ailleurs disponible au moyen de mises à jour pour les anciens Kindle.Une véritable mise à niveau aurait consisté à ajouter un stylet, afin que vous puissiez prendre et sauvegarder des notes manuscrites ou peut-être proposer un modèle avec un écran plus grand.👉🏼 Si vous possédez un Kindle Fire, Fire HD ou une autre tablette et que vous songez à vous procurer un lecteur plus portable, je la recommande.À la lumière du soleil, il y a beaucoup moins d'éblouissement et, comme vous n'avez pas un écran brillant sur votre visage, la lecture est moins intense. De plus, les liseuses sont plus petites et plus légères, ce qui facilite leur transport au parc ou à la plage. Un autre avantage est que la durée de vie de la batterie des liseuses électroniques est considérablement plus longue.👉🏼 Si vous possédez un autre modèle Kindle, je pense que la mise à niveau en vaut la peine. Vous obtiendrez un écran plus grand, meilleur et plus lumineux, un appareil plus rapide, un écran tactile et davantage de fonctionnalités logicielles.👉🏼 Si vous ne possédez pas de liseuses électroniques et que ce sera votre premier achat, ou si vous sortez du coma et que le concept de liseuses électroniques est nouveau, vous ne pouvez pas vous tromper avec le nouveau Kindle. Bonne combinaison de matériel, logiciel et écosystème.Une chose que je n'ai pas incluse est une comparaison avec d'autres marques. Personnellement, et je déteste dire ça, mais je ne vois pas d’avenir pour beaucoup d’entre eux. Ce que Apple a fait à Virgin Music et à d’autres magasins de disques, Amazon est sur le point de le faire pour les librairies et les détaillants."
1,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir","attention, cette tablette ne lit pas epub",4.0,"Tous mes e-book ont le format epub et cette liseuse ne les lit pas. Je n'ai pas bien lu toutes les infos sur cette tablettes. Du coup, il a fallu que je les mette tous en pdf.Dommage."
2,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir",Ecran tactile,4.0,"J'ai plus de 70 ans et un peu la tremblote, alors imaginez les plaisirs du tactile. Lettres tapées 2 ou 3 fois, base du pouce qui effleure la touche ""effacer"". Bref, j'ai mis 2 jours a essayer de m'enregistrer. Idem pour accéder à la bibliothèque, beaucoup trop proche du premier livre présenté. Ce sont des jeunes en pleine forme physique qui onty inventé ça, sans penser aux handicapés, aux vieux ni à ceux qui ont des gros doigts.Pour le rest le rétro éclairage c'est top. Je n'ai pas encore fait attention à la durée d'une charge de batterie."
3,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir",C'est mon deuxième Kindle,3.0,"J'avais le premier modèle, écran non tactile, déplacement avant et arrière par bouton, éclairage fourni par la coque achetée en plus, large autonomie ... avant qu'il ne me laisse tomber (plus moyen de le charger !)Avec ce dernier modèle avec écran tactile, je trouve une difficulté de navigation qui n'existait pas auparavant, marche AV ou AR trop peu différenciée. C'est peut être une question d'habitude ... nous verrons. En ce qui concerne l'autonomie, le premier message réclamant la recharge me parait arriver bien vite."
4,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir",Super !,4.0,"Et dire que je me disais que non, moi le support papier c'est important ! Aujourd'hui je ne pourrais plus me passer de cette liseuse, je l'emmène partout, l'éclairage est léger et dans le lit je ne gène pas du tout mon conjoint. Un petit bug, j'ai du l'éteindre et depuis ça fonctionne bien."
5,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir",Le rétro éclairage est pratique (y),5.0,"Contrairement à la version précédente le petit plus de lire dans le noir est top! Je recommande sans modération :). Et le système est pareil que l’ancienne version, donc on est pas trop perdu :)"
6,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir",pour grand lecteur disposant de peu de place pour stocker ses livres,4.0,"principalement utilisé depuis trois semaines pour lecture deux à trois heures par jour, dans ce cas la batterie tient 4jours (wifi désactivé) et non pas un mois comme certaine publicité le laisse entendre.L'éclairage règlable de l'écran très appréciable selon la luminosité ambiante. Excellente tenue en main de l'appareil. En wifi, le téléchargement des ebooks est quasi-instantané. Pas essayé pour le moment le transfert ordi-kindle pour d'autres ouvrages.La possibilité de prêt de ebooks est une bonne idée car elle permet de trier ceux que l'on achètera ou pas, en ebook ou en broché.. comme lors des prêts en bibliothèque municipale. Mais si j'ai bien compris, elle n'est pas systématique pour tous les titres."
7,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir",Liseuse,5.0,Super  liseuse  avec éclairage  pour la nuit très légère  ce glisse  partout  dans mon sac elle  ne me quitte jamais  en plus le prix et très accessible  et il y a une gamme  de livres  énormes  merci Amazon
8,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir",Parfait pour les accrocs aux livres !,5.0,"Il s’agit de la liseuse Kindle édition 2019 avec éclairage frontal.Contient le fil pour le chargement .J’avais un peu peur au niveau de la mise en route.Aucun souci c’est extrêmement facile de le faire fonctionner même pour une novice comme moi .On se laisse guider par les instructions.Cela sera plus pratique si vous connecter votre liseuse à votre compte Amazon (tout se fera plus facilement)On peut régler la luminosité, la grosseur des écritures...(pleins de paramètres)Les publicités ne m’ont absolument pas dérangées , au contraire certaines d’entre elles permettent de connaître certaines  promotions et  elles donnent des idées de lectures personnalisées.On a accès  à notre bibliothèque personnelle avec les œuvres empruntées  et les œuvres achetées.On a aussi accès à un dictionnaire.Parfait lors ce que l’on veut lire dans le noir (pour ne déranger personne)On reprend notre lecture où on l’a arrêté et on voit ce qu’il  nous reste à lire  grâce aux pourcentages.C’est aussi des économies  puisque les livres sont moins chers en format numérique.Il faudra cependant prévoir une housse de protection car la matière de la liseuse glisse énormément.C’est une excellente idée cadeau pour tous les accros à la lecture.Je ne pourrai plus  m’en passer désormais .Très facile à emporter grâce à son petit format.Je la glisse dans mon sac sans avoir peur d’abimer mon livre !Très bon rapport qualité /prix .J’espère que ce commentaire vous sera utile, si vous avez des questions n’hésitez pas ."
9,"Kindle, maintenant avec un éclairage frontal intégré | Sans publicités, noir",Décevant,1.0,"Si l'application Kindle est pleine de promesses (traductions, dictionnaire, synchronisation des notes), cette version du Kindle ressemble à une Gameboy sans couleur ; l'outil est globalement franchement décevant.- la taille : j'ai mis ma main à côté du Kindle dans l'image, pour montrer sa dimension. C'est correct pour lire un livre Kindle, ça ne l'est pas pour un pdf.- l'écran : peu lumineux, il fait des flash quand on le touche, est archaïque.- la rapidité : il est très lent.- la couleur : noir et blanc, on n'a plus l'habitude, c'est assez moche franchement pour l'accueil, les images, etc. car elles ne rendent pas toutes leurs qualités- mode d'emploi : il donne l'impression d'un produit non fini, puisque certaines parties sont en espagnol (dans la partie en français)- la synchronisation : il y a un gros problème de synchronisation entre les différents appareils Kindle, et cela vient notamment du fait que les applications (Kindle pour Android, Mac, et tablette Kindle) ne sont pas les mêmes et ne suivent pas la même progression.- pdf : vous pouvez souligner des pdf et prendre des notes mais vous en pourrez pas synchroniser sur vos différents appareils ces sur lignages (à destination des thésards, chercheurs, etc. : il vaut mieux mettre un prix plus élevé)- plein de pub même si vous la limitez, c'est désagréable pour un produit achetéAvantages :- léger et transportable, maniableMon conseil : à éviter ; autant prendre la tablette Fire je suppose."
